Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
ARC111,12,12543.0,150399,99.92,1,12543,1.0000,1 2 3 4 7 9 8 6 5 111 65 50 52 53 51 45
ARC111,12,12543.0,150399,99.92,2,12518,0.9980,10 11 12 15 14 20 19 24 30 13 17 28 22 36 44 38 46 48
ARC111,12,12543.0,150399,99.92,3,12538,0.9996,21 25 34 26 18
ARC111,12,12543.0,150399,99.92,4,12542,0.9999,31 42 63 68 33 16 27 35 29
ARC111,12,12543.0,150399,99.92,5,12528,0.9988,47 58 59 60 55 57
ARC111,12,12543.0,150399,99.92,6,12532,0.9991,62 54 71 61 67 43 86 49
ARC111,12,12543.0,150399,99.92,7,12529,0.9989,56 23 32 41
ARC111,12,12543.0,150399,99.92,8,12543,1.0000,70 69 73 75 77 79 66 85 37
ARC111,12,12543.0,150399,99.92,9,12539,0.9997,39 40 78 84 89 82 90
ARC111,12,12543.0,150399,99.92,10,12528,0.9988,64 72 83 74 76 88 87 109
ARC111,12,12543.0,150399,99.92,11,12517,0.9979,80 81 91 93 94 92 105 104 106 110
ARC111,12,12543.0,150399,99.92,12,12542,0.9999,95 96 101 97 98 100 99 102 103 107 108
