Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
ARC83,12,6431.0,75707,98.10,1,6194,0.9631,1 2 5 3
ARC83,12,6431.0,75707,98.10,2,6384,0.9927,4 6 10 25 13
ARC83,12,6431.0,75707,98.10,3,6408,0.9964,17 14 19 7 24 29
ARC83,12,6431.0,75707,98.10,4,6431,1.0000,11 15 18 23 22 21 27 30 31
ARC83,12,6431.0,75707,98.10,5,6394,0.9942,28 32 33 34 9 20
ARC83,12,6431.0,75707,98.10,6,6429,0.9997,12 36 16 39 42 8 44
ARC83,12,6431.0,75707,98.10,7,6415,0.9975,46 48 38 41 45 47 49 50 51 52
ARC83,12,6431.0,75707,98.10,8,6428,0.9995,53 43 26 69 70 72 71 73
ARC83,12,6431.0,75707,98.10,9,6358,0.9886,54 55 56 57 58 59 60 61 62 63 64
ARC83,12,6431.0,75707,98.10,10,6411,0.9969,37 65 66 67 68 75 74
ARC83,12,6431.0,75707,98.10,11,6414,0.9974,76 35 40 77 78 79 80
ARC83,12,6431.0,75707,98.10,12,5441,0.8461,81 82 83
