Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
LUTZ3,12,138.0,1644,99.28,1,138,1.0000,30 1 2 3 4 6 5 7 11 8
LUTZ3,12,138.0,1644,99.28,2,137,0.9928,9 10 12 13 14 16 15
LUTZ3,12,138.0,1644,99.28,3,136,0.9855,17 18 20 19 22 23 24 21
LUTZ3,12,138.0,1644,99.28,4,138,1.0000,28 54 55
LUTZ3,12,138.0,1644,99.28,5,138,1.0000,25 29 31 26 56 57 63
LUTZ3,12,138.0,1644,99.28,6,137,0.9928,27 32 58 65 59 33 34 64 60
LUTZ3,12,138.0,1644,99.28,7,137,0.9928,35 36 37 38
LUTZ3,12,138.0,1644,99.28,8,138,1.0000,66 62 39 41 42 40 44 43 45 46 47
LUTZ3,12,138.0,1644,99.28,9,138,1.0000,49 48 50 51 52 53 61 70
LUTZ3,12,138.0,1644,99.28,10,133,0.9638,67 68 71 73 74 76 75 69 72
LUTZ3,12,138.0,1644,99.28,11,138,1.0000,77 78 79 80 81 82 83
LUTZ3,12,138.0,1644,99.28,12,136,0.9855,84 85 86 87 88 89
