Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
ARC83,12,6467.0,75707,97.56,1,6371,0.9852,1 2 5 8 4
ARC83,12,6467.0,75707,97.56,2,6467,1.0000,3 6 10 13
ARC83,12,6467.0,75707,97.56,3,6391,0.9882,18 23 17 14 19 24 29 25
ARC83,12,6467.0,75707,97.56,4,6443,0.9963,9 22 21 7 11 12
ARC83,12,6467.0,75707,97.56,5,6353,0.9824,15 20 28 32 36 35 33
ARC83,12,6467.0,75707,97.56,6,6423,0.9932,37 34 30 31 39 43 44
ARC83,12,6467.0,75707,97.56,7,6426,0.9937,27 26 38 41 45 47 49 40 46
ARC83,12,6467.0,75707,97.56,8,6374,0.9856,48 50 51 69 71 70 52 53 54 55 56
ARC83,12,6467.0,75707,97.56,9,6442,0.9961,72 73 57 58 59 60 61 62 63
ARC83,12,6467.0,75707,97.56,10,6197,0.9582,64 65 66 67 68 74 75
ARC83,12,6467.0,75707,97.56,11,6379,0.9864,76 42 16 78 77 79 80
ARC83,12,6467.0,75707,97.56,12,5441,0.8413,81 82 83
