Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
TONGE70,17,209.0,3510,98.79,1,208,0.9952,5 15 9 1 69
TONGE70,17,209.0,3510,98.79,2,209,1.0000,10 11 70 41 30
TONGE70,17,209.0,3510,98.79,3,206,0.9856,16 17 2
TONGE70,17,209.0,3510,98.79,4,206,0.9856,3 4 6 24
TONGE70,17,209.0,3510,98.79,5,208,0.9952,7 8 12 55
TONGE70,17,209.0,3510,98.79,6,207,0.9904,18 19 57 58 59
TONGE70,17,209.0,3510,98.79,7,202,0.9665,20 21 22 60 66
TONGE70,17,209.0,3510,98.79,8,207,0.9904,14 68
TONGE70,17,209.0,3510,98.79,9,207,0.9904,13 23
TONGE70,17,209.0,3510,98.79,10,209,1.0000,25 26 65
TONGE70,17,209.0,3510,98.79,11,202,0.9665,33 28 29
TONGE70,17,209.0,3510,98.79,12,207,0.9904,27 31 32 34 35
TONGE70,17,209.0,3510,98.79,13,206,0.9856,44 62 61 48 53 51
TONGE70,17,209.0,3510,98.79,14,204,0.9761,63 45 67
TONGE70,17,209.0,3510,98.79,15,208,0.9952,49 46 52 36
TONGE70,17,209.0,3510,98.79,16,208,0.9952,54 56 37 38 39 40
TONGE70,17,209.0,3510,98.79,17,206,0.9856,42 43 64 47 50
