Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
ARC111,12,12542.0,150399,99.93,1,12533,0.9993,1 2 3 4 9 5 8 7 6 111 68 51 52 53 50
ARC111,12,12542.0,150399,99.93,2,12537,0.9996,10 12 11 15 26 19 14 22 24
ARC111,12,12542.0,150399,99.93,3,12541,0.9999,23 32 41 13 16 18 21 17 45
ARC111,12,12542.0,150399,99.93,4,12541,0.9999,28 36 44 25 31 39 40 67 29 37 27
ARC111,12,12542.0,150399,99.93,5,12538,0.9997,34 42 63 35
ARC111,12,12542.0,150399,99.93,6,12528,0.9989,47 60 58 55 59 33
ARC111,12,12542.0,150399,99.93,7,12527,0.9988,61 56 64 72 74 85
ARC111,12,12542.0,150399,99.93,8,12534,0.9994,76 62 71 54 48
ARC111,12,12542.0,150399,99.93,9,12542,1.0000,70 57 65 73 75 69 79 78 30 38 46 43 49 82 109
ARC111,12,12542.0,150399,99.93,10,12519,0.9982,77 83 84 89 88 80 86 20 90
ARC111,12,12542.0,150399,99.93,11,12517,0.9980,81 91 94 92 87 93 105 104 66 106 110
ARC111,12,12542.0,150399,99.93,12,12542,1.0000,95 98 96 101 103 108 100 97 102 99 107
