Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
GUNTHER,12,44.0,483,91.48,1,44,1.0000,17 1 5 2 29 34
GUNTHER,12,44.0,483,91.48,2,44,1.0000,12 6
GUNTHER,12,44.0,483,91.48,3,44,1.0000,10 7 3 8 18
GUNTHER,12,44.0,483,91.48,4,44,1.0000,9 4
GUNTHER,12,44.0,483,91.48,5,44,1.0000,13 14 15
GUNTHER,12,44.0,483,91.48,6,44,1.0000,11 19 35
GUNTHER,12,44.0,483,91.48,7,29,0.6591,16
GUNTHER,12,44.0,483,91.48,8,40,0.9091,20 21 25
GUNTHER,12,44.0,483,91.48,9,42,0.9545,22 26 23 30 31 32
GUNTHER,12,44.0,483,91.48,10,28,0.6364,24 27
GUNTHER,12,44.0,483,91.48,11,40,0.9091,28
GUNTHER,12,44.0,483,91.48,12,40,0.9091,33
